_Annual_J-D_2008_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00        0.3161
   2   1 -177.00  -89.00        0.3161
   3   1 -175.00  -89.00        0.3161
   4   1 -173.00  -89.00        0.3161
   5   1 -171.00  -89.00        0.3161
   6   1 -169.00  -89.00        0.3161
   7   1 -167.00  -89.00        0.3161
   8   1 -165.00  -89.00        0.3161
   9   1 -163.00  -89.00        0.3161
  10   1 -161.00  -89.00        0.3161
  11   1 -159.00  -89.00        0.3161
  12   1 -157.00  -89.00        0.3161
  13   1 -155.00  -89.00        0.3161
  14   1 -153.00  -89.00        0.3161
  15   1 -151.00  -89.00        0.3161
  16   1 -149.00  -89.00        0.3161
  17   1 -147.00  -89.00        0.3161
  18   1 -145.00  -89.00        0.3161
  19   1 -143.00  -89.00        0.3161
  20   1 -141.00  -89.00        0.3161
  21   1 -139.00  -89.00        0.3161
  22   1 -137.00  -89.00        0.3161
  23   1 -135.00  -89.00        0.3161
  24   1 -133.00  -89.00        0.3161
  25   1 -131.00  -89.00        0.3161
  26   1 -129.00  -89.00        0.3161
  27   1 -127.00  -89.00        0.3161
  28   1 -125.00  -89.00        0.3161
  29   1 -123.00  -89.00        0.3161
  30   1 -121.00  -89.00        0.3161
  31   1 -119.00  -89.00        0.3161
  32   1 -117.00  -89.00        0.3161
  33   1 -115.00  -89.00        0.3161
  34   1 -113.00  -89.00        0.3161
  35   1 -111.00  -89.00        0.3161
  36   1 -109.00  -89.00        0.3161
  37   1 -107.00  -89.00        0.3161
  38   1 -105.00  -89.00        0.3161
  39   1 -103.00  -89.00        0.3161
  40   1 -101.00  -89.00        0.3161
  41   1  -99.00  -89.00        0.3161
  42   1  -97.00  -89.00        0.3161
  43   1  -95.00  -89.00        0.3161
  44   1  -93.00  -89.00        0.3161
  45   1  -91.00  -89.00        0.3161
  46   1  -89.00  -89.00        0.3161
  47   1  -87.00  -89.00        0.3161
  48   1  -85.00  -89.00        0.3161
  49   1  -83.00  -89.00        0.3161
  50   1  -81.00  -89.00        0.3161
  51   1  -79.00  -89.00        0.3161
  52   1  -77.00  -89.00        0.3161
  53   1  -75.00  -89.00        0.3161
  54   1  -73.00  -89.00        0.3161
  55   1  -71.00  -89.00        0.3161
  56   1  -69.00  -89.00        0.3161
  57   1  -67.00  -89.00        0.3161
  58   1  -65.00  -89.00        0.3161
  59   1  -63.00  -89.00        0.3161
  60   1  -61.00  -89.00        0.3161
  61   1  -59.00  -89.00        0.3161
  62   1  -57.00  -89.00        0.3161
  63   1  -55.00  -89.00        0.3161
  64   1  -53.00  -89.00        0.3161
  65   1  -51.00  -89.00        0.3161
  66   1  -49.00  -89.00        0.3161
  67   1  -47.00  -89.00        0.3161
  68   1  -45.00  -89.00        0.3161
  69   1  -43.00  -89.00        0.3161
  70   1  -41.00  -89.00        0.3161
  71   1  -39.00  -89.00        0.3161
  72   1  -37.00  -89.00        0.3161
  73   1  -35.00  -89.00        0.3161
  74   1  -33.00  -89.00        0.3161
  75   1  -31.00  -89.00        0.3161
  76   1  -29.00  -89.00        0.3161
  77   1  -27.00  -89.00        0.3161
  78   1  -25.00  -89.00        0.3161
  79   1  -23.00  -89.00        0.3161
  80   1  -21.00  -89.00        0.3161
  81   1  -19.00  -89.00        0.3161
  82   1  -17.00  -89.00        0.3161
  83   1  -15.00  -89.00        0.3161
  84   1  -13.00  -89.00        0.3161
  85   1  -11.00  -89.00        0.3161
  86   1   -9.00  -89.00        0.3161
  87   1   -7.00  -89.00        0.3161
  88   1   -5.00  -89.00        0.3161
  89   1   -3.00  -89.00        0.3161
  90   1   -1.00  -89.00        0.3161
  91   1    1.00  -89.00        0.3161
  92   1    3.00  -89.00        0.3161
  93   1    5.00  -89.00        0.3161
  94   1    7.00  -89.00        0.3161
  95   1    9.00  -89.00        0.3161
  96   1   11.00  -89.00        0.3161
  97   1   13.00  -89.00        0.3161
  98   1   15.00  -89.00        0.3161
  99   1   17.00  -89.00        0.3161
 100   1   19.00  -89.00        0.3161
 101   1   21.00  -89.00        0.3161
 102   1   23.00  -89.00        0.3161
 103   1   25.00  -89.00        0.3161
 104   1   27.00  -89.00        0.3161
 105   1   29.00  -89.00        0.3161
 106   1   31.00  -89.00        0.3161
 107   1   33.00  -89.00        0.3161
 108   1   35.00  -89.00        0.3161
 109   1   37.00  -89.00        0.3161
