    Jan-Mar_2022_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00        0.3809
   2   1 -177.00  -89.00        0.3809
   3   1 -175.00  -89.00        0.3809
   4   1 -173.00  -89.00        0.3809
   5   1 -171.00  -89.00        0.3809
   6   1 -169.00  -89.00        0.3809
   7   1 -167.00  -89.00        0.3809
   8   1 -165.00  -89.00        0.3809
   9   1 -163.00  -89.00        0.3809
  10   1 -161.00  -89.00        0.3809
  11   1 -159.00  -89.00        0.3809
  12   1 -157.00  -89.00        0.3809
  13   1 -155.00  -89.00        0.3809
  14   1 -153.00  -89.00        0.3809
  15   1 -151.00  -89.00        0.3809
  16   1 -149.00  -89.00        0.3809
  17   1 -147.00  -89.00        0.3809
  18   1 -145.00  -89.00        0.3809
  19   1 -143.00  -89.00        0.3809
  20   1 -141.00  -89.00        0.3809
  21   1 -139.00  -89.00        0.3809
  22   1 -137.00  -89.00        0.3809
  23   1 -135.00  -89.00        0.3809
  24   1 -133.00  -89.00        0.3809
  25   1 -131.00  -89.00        0.3809
  26   1 -129.00  -89.00        0.3809
  27   1 -127.00  -89.00        0.3809
  28   1 -125.00  -89.00        0.3809
  29   1 -123.00  -89.00        0.3809
  30   1 -121.00  -89.00        0.3809
  31   1 -119.00  -89.00        0.3809
  32   1 -117.00  -89.00        0.3809
  33   1 -115.00  -89.00        0.3809
  34   1 -113.00  -89.00        0.3809
  35   1 -111.00  -89.00        0.3809
  36   1 -109.00  -89.00        0.3809
  37   1 -107.00  -89.00        0.3809
  38   1 -105.00  -89.00        0.3809
  39   1 -103.00  -89.00        0.3809
  40   1 -101.00  -89.00        0.3809
  41   1  -99.00  -89.00        0.3809
  42   1  -97.00  -89.00        0.3809
  43   1  -95.00  -89.00        0.3809
  44   1  -93.00  -89.00        0.3809
  45   1  -91.00  -89.00        0.3809
  46   1  -89.00  -89.00        0.3809
  47   1  -87.00  -89.00        0.3809
  48   1  -85.00  -89.00        0.3809
  49   1  -83.00  -89.00        0.3809
  50   1  -81.00  -89.00        0.3809
  51   1  -79.00  -89.00        0.3809
  52   1  -77.00  -89.00        0.3809
  53   1  -75.00  -89.00        0.3809
  54   1  -73.00  -89.00        0.3809
  55   1  -71.00  -89.00        0.3809
  56   1  -69.00  -89.00        0.3809
  57   1  -67.00  -89.00        0.3809
  58   1  -65.00  -89.00        0.3809
  59   1  -63.00  -89.00        0.3809
  60   1  -61.00  -89.00        0.3809
  61   1  -59.00  -89.00        0.3809
  62   1  -57.00  -89.00        0.3809
  63   1  -55.00  -89.00        0.3809
  64   1  -53.00  -89.00        0.3809
  65   1  -51.00  -89.00        0.3809
  66   1  -49.00  -89.00        0.3809
  67   1  -47.00  -89.00        0.3809
  68   1  -45.00  -89.00        0.3809
  69   1  -43.00  -89.00        0.3809
  70   1  -41.00  -89.00        0.3809
  71   1  -39.00  -89.00        0.3809
  72   1  -37.00  -89.00        0.3809
  73   1  -35.00  -89.00        0.3809
  74   1  -33.00  -89.00        0.3809
  75   1  -31.00  -89.00        0.3809
  76   1  -29.00  -89.00        0.3809
  77   1  -27.00  -89.00        0.3809
  78   1  -25.00  -89.00        0.3809
  79   1  -23.00  -89.00        0.3809
  80   1  -21.00  -89.00        0.3809
  81   1  -19.00  -89.00        0.3809
  82   1  -17.00  -89.00        0.3809
  83   1  -15.00  -89.00        0.3809
  84   1  -13.00  -89.00        0.3809
  85   1  -11.00  -89.00        0.3809
  86   1   -9.00  -89.00        0.3809
  87   1   -7.00  -89.00        0.3809
  88   1   -5.00  -89.00        0.3809
  89   1   -3.00  -89.00        0.3809
  90   1   -1.00  -89.00        0.3809
  91   1    1.00  -89.00        0.3809
  92   1    3.00  -89.00        0.3809
  93   1    5.00  -89.00        0.3809
  94   1    7.00  -89.00        0.3809
  95   1    9.00  -89.00        0.3809
  96   1   11.00  -89.00        0.3809
  97   1   13.00  -89.00        0.3809
  98   1   15.00  -89.00        0.3809
  99   1   17.00  -89.00        0.3809
 100   1   19.00  -89.00        0.3809
 101   1   21.00  -89.00        0.3809
 102   1   23.00  -89.00        0.3809
 103   1   25.00  -89.00        0.3809
 104   1   27.00  -89.00        0.3809
 105   1   29.00  -89.00        0.3809
 106   1   31.00  -89.00        0.3809
 107   1   33.00  -89.00        0.3809
 108   1   35.00  -89.00        0.3809
 109   1   37.00  -89.00        0.3809
 110   1   39.00  -89.00        0.3809
 111   1   41.00  -89.00        0.3809
 112   1   43.00  -89.00        0.3809
 113   1   45.00  -89.00        0.3809
 114   1   47.00  -89.00        0.3809
 115   1   49.00  -89.00        0.3809
 116   1   51.00  -89.00        0.3809
 117   1   53.00  -89.00        0.3809
 118   1   55.00  -89.00        0.3809
 119   1   57.00  -89.00        0.3809
 120   1   59.00  -89.00        0.3809
 121   1   61.00  -89.00        0.3809
 122   1   63.00  -89.00        0.3809
 123   1   65.00  -89.00        0.3809
 124   1   67.00  -89.00        0.3809
 125   1   69.00  -89.00        0.3809
 126   1   71.00  -89.00        0.3809
 127   1   73.00  -89.00        0.3809
 128   1   75.00  -89.00        0.3809
 129   1   77.00  -89.00        0.3809
 130   1   79.00  -89.00        0.3809
 131   1   81.00  -89.00        0.3809
 132   1   83.00  -89.00        0.3809
 133   1   85.00  -89.00        0.3809
 134   1   87.00  -89.00        0.3809
 135   1   89.00  -89.00        0.3809
 136   1   91.00  -89.00        0.3809
 137   1   93.00  -89.00        0.3809
 138   1   95.00  -89.00        0.3809
 139   1   97.00  -89.00        0.3809
 140   1   99.00  -89.00        0.3809
 141   1  101.00  -89.00        0.3809
 142   1  103.00  -89.00        0.3809
 143   1  105.00  -89.00        0.3809
 144   1  107.00  -89.00        0.3809
 145   1  109.00  -89.00        0.3809
 146   1  111.00  -89.00        0.3809
 147   1  113.00  -89.00        0.3809
 148   1  115.00  -89.00        0.3809
 149   1  117.00  -89.00        0.3809
 150   1  119.00  -89.00        0.3809
 151   1  121.00  -89.00        0.3809
 152   1  123.00  -89.00        0.3809
 153   1  125.00  -89.00        0.3809
 154   1  127.00  -89.00        0.3809
 155   1  129.00  -89.00        0.3809
 156   1  131.00  -89.00        0.3809
 157   1  133.00  -89.00        0.3809
 158   1  135.00  -89.00        0.3809
 159   1  137.00  -89.00        0.3809
 160   1  139.00  -89.00        0.3809
 161   1  141.00  -89.00        0.3809
 162   1  143.00  -89.00        0.3809
 163   1  145.00  -89.00        0.3809
 164   1  147.00  -89.00        0.3809
 165   1  149.00  -89.00        0.3809
 166   1  151.00  -89.00        0.3809
 167   1  153.00  -89.00        0.3809
 168   1  155.00  -89.00        0.3809
 169   1  157.00  -89.00        0.3809
 170   1  159.00  -89.00        0.3809
 171   1  161.00  -89.00        0.3809
 172   1  163.00  -89.00        0.3809
 173   1  165.00  -89.00        0.3809
 174   1  167.00  -89.00        0.3809
 175   1  169.00  -89.00        0.3809
 176   1  171.00  -89.00        0.3809
 177   1  173.00  -89.00        0.3809
 178   1  175.00  -89.00        0.3809
 179   1  177.00  -89.00        0.3809
 180   1  179.00  -89.00        0.3809
   1   2 -179.00  -87.00        0.3809
   2   2 -177.00  -87.00        0.3809
   3   2 -175.00  -87.00        0.3809
   4   2 -173.00  -87.00        0.3809
   5   2 -171.00  -87.00        0.3809
   6   2 -169.00  -87.00        0.3809
   7   2 -167.00  -87.00        0.3809
   8   2 -165.00  -87.00        0.3809
   9   2 -163.00  -87.00        0.3809
  10   2 -161.00  -87.00        0.3809
  11   2 -159.00  -87.00        0.3809
  12   2 -157.00  -87.00        0.3809
  13   2 -155.00  -87.00        0.3809
  14   2 -153.00  -87.00        0.3809
  15   2 -151.00  -87.00        0.3809
  16   2 -149.00  -87.00        0.3809
  17   2 -147.00  -87.00        0.3809
  18   2 -145.00  -87.00        0.3809
  19   2 -143.00  -87.00        0.3809
  20   2 -141.00  -87.00        0.3809
  21   2 -139.00  -87.00        0.3809
  22   2 -137.00  -87.00        0.3809
  23   2 -135.00  -87.00        0.3809
  24   2 -133.00  -87.00        0.3809
  25   2 -131.00  -87.00        0.3809
  26   2 -129.00  -87.00        0.3809
  27   2 -127.00  -87.00        0.3809
  28   2 -125.00  -87.00        0.3809
  29   2 -123.00  -87.00        0.3809
  30   2 -121.00  -87.00        0.3809
  31   2 -119.00  -87.00        0.3809
  32   2 -117.00  -87.00        0.3809
  33   2 -115.00  -87.00        0.3809
  34   2 -113.00  -87.00        0.3809
  35   2 -111.00  -87.00        0.3809
  36   2 -109.00  -87.00        0.3809
